"","term","description","package","title"
"1","c()","create vector of numbers, characters, etc.","base","R4DS2e Ch. 7"
"3","clean_names()","clean data frame column names to be unique and consistent of only characters, numbers and `_`","janitor","R4DS2e Ch. 7"
"9","factor()","encode vector as factor","base","R4DS2e Ch. 7"
"11","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","dplyr","R4DS2e Ch. 7"
"12","kable()","create knitr table","knitr","R4DS2e Ch. 7"
"13","length()","return number of elements in a vector","base","R4DS2e Ch. 7"
"14","library()","load R packages","base","R4DS2e Ch. 7"
"15","list()","create recursive vector (list)","base","R4DS2e Ch. 7"
"17","mutate()","create or modify data columns","dplyr","R4DS2e Ch. 7"
"18","parse_number()","parse a character vector to numbers","readr","R4DS2e Ch. 7"
"19","problems()","retrieve parsing problems","readr","R4DS2e Ch. 7"
"20","read_csv()","read comma delimited files","readr","R4DS2e Ch. 7"
"21","read_lines()","read lines from a file","readr","R4DS2e Ch. 7"
"22","read_rds()","read RDS files","readr","R4DS2e Ch. 7"
"23","rename()","rename columns","dplyr","R4DS2e Ch. 7"
"24","rnorm()","generate random sample from normal distribution","stats","R4DS2e Ch. 7"
"26","tibble()","create tibble","tibble","R4DS2e Ch. 7"
"27","tribble()","create row-wise tibble","tibble","R4DS2e Ch. 7"
"28","write_csv()","write data frame to comma delimited file","readr","R4DS2e Ch. 7"
"29","write_rds()","write RDS files","readr","R4DS2e Ch. 7"
