"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e Ch. 1"
"2","facet_wrap()","create subplots from one variable","ggplot2","R4DS2e Ch. 1"
"3","fct_infreq()","reorder factor levels in the order of most to least frequent","forcats","R4DS2e Ch. 1"
"5","geom_bar()","create bar chart based on counts in data","ggplot2","R4DS2e Ch. 1"
"6","geom_boxplot()","add layer of boxplots to plot","ggplot2","R4DS2e Ch. 1"
"8","geom_histogram()","create histogram of counts as bars","ggplot2","R4DS2e Ch. 1"
"9","geom_point()","add layer of points to plot","ggplot2","R4DS2e Ch. 1"
"10","geom_smooth()","create smoothed lines to plot","ggplot2","R4DS2e Ch. 1"
"11","ggplot()","create a plotting area","ggplot2","R4DS2e Ch. 1"
"12","ggsave()","save a ggplot","ggplot2","R4DS2e Ch. 1"
"15","labs()","modify axis, legend, and plot labels","ggplot2","R4DS2e Ch. 1"
"16","library()","load R packages","base","R4DS2e Ch. 1"
