"","term","description","url","package","title"
"1","pwr.t.test()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"2","pluck()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"3","ceiling()","round up to nearest integer","https://rdrr.io/r/base/Round.html","base","psyteachr_fqa Ch. 10"
"4","pwr.t2n.test()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"5","round()","round values to specified number of digits","https://rdrr.io/r/base/Round.html","base","psyteachr_fqa Ch. 10"
"6","pwr.f2.test()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"7","sqrt()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"8","pwr.r.test()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"9","alpha()",NA,NA,NA,"psyteachr_fqa Ch. 10"
"10","power()",NA,NA,NA,"psyteachr_fqa Ch. 10"
