"","term","description","package","title"
"1","across()","apply transformation across multiple columns","dplyr","R4DS2e: Iteration"
"2","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e: Iteration"
"3","any()","assess whether conditional is true for any elements of a vector","base","R4DS2e: Iteration"
"5","c()","create vector of numbers, characters, etc.","base","R4DS2e: Iteration"
"7","coalesce()","combine vectors by returning the first non-missing value at each position","dplyr","R4DS2e: Iteration"
"8","count()","count unique values of variables","dplyr","R4DS2e: Iteration"
"9","cut()","divide range of vector into intervals","base","R4DS2e: Iteration"
"10","data()","load specific data set","utils","R4DS2e: Iteration"
"12","dbConnect()","create connection to database","DBI","R4DS2e: Iteration"
"18","everything()","select all variables","tidyselect","R4DS2e: Iteration"
"20","filter()","keep rows based on values of columns","dplyr","R4DS2e: Iteration"
"21","geom_histogram()","create histogram of counts as bars","ggplot2","R4DS2e: Iteration"
"22","ggplot()","create a plotting area","ggplot2","R4DS2e: Iteration"
"23","ggsave()","save a ggplot","ggplot2","R4DS2e: Iteration"
"24","group_by()","group data by levels of column","dplyr","R4DS2e: Iteration"
"26","if_all()","apply function to columns and return TRUE if all values are TRUE","dplyr","R4DS2e: Iteration"
"27","if_any()","apply function to columns and return TRUE if any values are TRUE","dplyr","R4DS2e: Iteration"
"28","is.na()","determine whether elements of vector are missing","base","R4DS2e: Iteration"
"30","is.numeric()","determine if input is of type numeric","base","R4DS2e: Iteration"
"31","length()","return number of elements in a vector","base","R4DS2e: Iteration"
"32","library()","load R packages","base","R4DS2e: Iteration"
"33","list()","create recursive vector (list)","base","R4DS2e: Iteration"
"36","map()","apply a function to multiple elements of an object in purrr, return a list","purrr","R4DS2e: Iteration"
"37","map_chr()","apply a function to multiple elements of an object in purrr, return a character vector","purrr","R4DS2e: Iteration"
"38","map_int()","apply a function to multiple elements of an object in purrr, return a integer vector","purrr","R4DS2e: Iteration"
"40","mean()","calculate mean of elements of vector","base","R4DS2e: Iteration"
"41","median()","compute sample median","stats","R4DS2e: Iteration"
"42","mutate()","create or modify data columns","dplyr","R4DS2e: Iteration"
"43","n()","return current group size","dplyr","R4DS2e: Iteration"
"44","names()","return (and can assign) column names","base","R4DS2e: Iteration"
"45","parse_number()","parse a character vector to numbers","readr","R4DS2e: Iteration"
"47","pivot_longer()","pivot data frame to be longer","tidyr","R4DS2e: Iteration"
"48","pivot_wider()","pivot data frame to be wider","tidyr","R4DS2e: Iteration"
"50","possibly()","safely return result or default when there is an error","purrr","R4DS2e: Iteration"
"51","read_excel()","import either xls or xlsx Excel files","readxl","R4DS2e: Iteration"
"52","rep()","create repetitions of numbers, characters, etc.","base","R4DS2e: Iteration"
"53","rnorm()","generate random sample from normal distribution","stats","R4DS2e: Iteration"
"55","runif()","generate random number from uniform distribution","stats","R4DS2e: Iteration"
"56","sample()","randomly sample from vector","base","R4DS2e: Iteration"
"57","sd()","compute standard deviation","stats","R4DS2e: Iteration"
"58","select()","keep specified columns","dplyr","R4DS2e: Iteration"
"60","set_names()","set names of object","magrittr","R4DS2e: Iteration"
"63","str_glue()","format and interpolate a string with glue","stringr","R4DS2e: Iteration"
"64","sum()","sum elements of vector","base","R4DS2e: Iteration"
"65","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e: Iteration"
"67","tbl()","create a database table from data source","dplyr","R4DS2e: Iteration"
"68","tibble()","create tibble","tibble","R4DS2e: Iteration"
"70","walk()","apply a function to multiple elements of an object to obtain side effects","purrr","R4DS2e: Iteration"
"71","walk2()","apply multiple functions over two arguments in parallel, only for side effects","purrr","R4DS2e: Iteration"
"74","write_csv()","write data frame to comma delimited file","readr","R4DS2e: Iteration"
"75","ymd()","parse dates with year, month, and day components","lubridate","R4DS2e: Iteration"
