"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_ads Ch. 03"
"2","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_ads Ch. 03"
"3","factor()","encode vector as factor","https://rdrr.io/r/base/factor.html","base","psyteachr_ads Ch. 03"
"4","as.numeric()","coerce object to numeric","https://rdrr.io/r/base/numeric.html","base","psyteachr_ads Ch. 03"
"5","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_ads Ch. 03"
"6","today()","return the current date","https://lubridate.tidyverse.org/reference/now.html","lubridate","psyteachr_ads Ch. 03"
"7","now()","return current date and time","https://lubridate.tidyverse.org/reference/now.html","lubridate","psyteachr_ads Ch. 03"
"8","glimpse()",NA,NA,NA,"psyteachr_ads Ch. 03"
"9","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_ads Ch. 03"
"10","spec()",NA,NA,NA,"psyteachr_ads Ch. 03"
"11","cols()",NA,NA,NA,"psyteachr_ads Ch. 03"
"12","col_character()",NA,NA,NA,"psyteachr_ads Ch. 03"
"13","col_datetime()",NA,NA,NA,"psyteachr_ads Ch. 03"
"14","col_double()",NA,NA,NA,"psyteachr_ads Ch. 03"
"15","col_factor()",NA,NA,NA,"psyteachr_ads Ch. 03"
"16","col_integer()",NA,NA,NA,"psyteachr_ads Ch. 03"
"17","theme_set()",NA,NA,NA,"psyteachr_ads Ch. 03"
"18","theme_bw()",NA,NA,NA,"psyteachr_ads Ch. 03"
"19","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_ads Ch. 03"
"20","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_ads Ch. 03"
"21","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","psyteachr_ads Ch. 03"
"22","geom_smooth()","create smoothed lines to plot","https://ggplot2.tidyverse.org/reference/geom_smooth.html","ggplot2","psyteachr_ads Ch. 03"
"23","plot_layout()",NA,NA,NA,"psyteachr_ads Ch. 03"
"24","rgb()",NA,NA,NA,"psyteachr_ads Ch. 03"
"25","seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base","psyteachr_ads Ch. 03"
"26","scale_x_continuous()","scale x axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_ads Ch. 03"
"27","scale_y_continuous()","scale y axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_ads Ch. 03"
"28","coord_cartesian()","use Cartesian coordinates","https://ggplot2.tidyverse.org/reference/coord_cartesian.html","ggplot2","psyteachr_ads Ch. 03"
"29","theme_gdocs()",NA,NA,NA,"psyteachr_ads Ch. 03"
"30","theme()","customize non-data components of plot","https://ggplot2.tidyverse.org/reference/theme.html","ggplot2","psyteachr_ads Ch. 03"
"31","element_blank()",NA,NA,NA,"psyteachr_ads Ch. 03"
"32","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_ads Ch. 03"
"33","geom_bar()","create bar chart based on counts in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_ads Ch. 03"
"34","scale_x_discrete()",NA,NA,NA,"psyteachr_ads Ch. 03"
"35","scale_fill_manual()",NA,NA,NA,"psyteachr_ads Ch. 03"
"36","expansion()",NA,NA,NA,"psyteachr_ads Ch. 03"
"37","ggtitle()",NA,NA,NA,"psyteachr_ads Ch. 03"
"38","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_ads Ch. 03"
"39","geom_col()","create bar chart based on values in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_ads Ch. 03"
"40","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_ads Ch. 03"
"41","geom_area()",NA,NA,NA,"psyteachr_ads Ch. 03"
"42","geom_freqpoly()","create frequency polygon","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_ads Ch. 03"
"43","geom_violin()","create violin plot","https://ggplot2.tidyverse.org/reference/geom_violin.html","ggplot2","psyteachr_ads Ch. 03"
"44","geom_boxplot()","add layer of boxplots to plot","https://ggplot2.tidyverse.org/reference/geom_boxplot.html","ggplot2","psyteachr_ads Ch. 03"
"45","guides()","set guides for scale","https://ggplot2.tidyverse.org/reference/guides.html","ggplot2","psyteachr_ads Ch. 03"
"46","stat_summary()","summarize y values for each x value","https://ggplot2.tidyverse.org/reference/stat_summary.html","ggplot2","psyteachr_ads Ch. 03"
"47","date()",NA,NA,NA,"psyteachr_ads Ch. 03"
"48","scale_x_date()","scale x axis to be date","https://ggplot2.tidyverse.org/reference/scale_date.html","ggplot2","psyteachr_ads Ch. 03"
"49","geom_jitter()","add layer of jittered points to plot","https://ggplot2.tidyverse.org/reference/geom_jitter.html","ggplot2","psyteachr_ads Ch. 03"
"50","facet_wrap()","create subplots from one variable","https://ggplot2.tidyverse.org/reference/facet_wrap.html","ggplot2","psyteachr_ads Ch. 03"
"51","lm()","fit linear model","https://rdrr.io/r/stats/lm.html","stats","psyteachr_ads Ch. 03"
"52","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_ads Ch. 03"
"53","boxplot()",NA,NA,NA,"psyteachr_ads Ch. 03"
"54","loess()","apply local polynomial regression fitting","https://rdrr.io/r/stats/loess.html","stats","psyteachr_ads Ch. 03"
"55","label_both()",NA,NA,NA,"psyteachr_ads Ch. 03"
