"","term","description","url","package","title"
"1","inner_join()","join two data sets keeping the observations that they have in common","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_fqa Ch. 06"
"2","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_fqa Ch. 06"
"3","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_fqa Ch. 06"
"4","case_match()",NA,NA,NA,"psyteachr_fqa Ch. 06"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_fqa Ch. 06"
"6","drop_na()","drop rows containing missing values","https://tidyr.tidyverse.org/reference/drop_na.html","tidyr","psyteachr_fqa Ch. 06"
"7","sum()","sum elements of vector","https://rdrr.io/r/base/sum.html","base","psyteachr_fqa Ch. 06"
"8","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_fqa Ch. 06"
"9","pivot_longer()","pivot data frame to be longer","https://tidyr.tidyverse.org/reference/pivot_longer.html","tidyr","psyteachr_fqa Ch. 06"
"10","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_fqa Ch. 06"
"11","summarise()",NA,NA,NA,"psyteachr_fqa Ch. 06"
"12","pivot_wider()","pivot data frame to be wider","https://tidyr.tidyverse.org/reference/pivot_wider.html","tidyr","psyteachr_fqa Ch. 06"
"13","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_fqa Ch. 06"
"14","sd()","compute standard deviation","https://rdrr.io/r/stats/sd.html","stats","psyteachr_fqa Ch. 06"
