"","term","description","url","package","title"
"1","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_fqa Ch. 03"
"2","glimpse()",NA,NA,NA,"psyteachr_fqa Ch. 03"
"3","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_fqa Ch. 03"
"4","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_fqa Ch. 03"
"5","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_fqa Ch. 03"
"6","scale_x_continuous()","scale x axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_fqa Ch. 03"
"7","scale_y_continuous()","scale y axis to be continuous","https://ggplot2.tidyverse.org/reference/scale_continuous.html","ggplot2","psyteachr_fqa Ch. 03"
"8","theme_bw()",NA,NA,NA,"psyteachr_fqa Ch. 03"
"9","geom_density()",NA,NA,NA,"psyteachr_fqa Ch. 03"
"10","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_fqa Ch. 03"
"11","as.factor()","coerce object to factor","https://rdrr.io/r/base/factor.html","base","psyteachr_fqa Ch. 03"
"12","geom_bar()","create bar chart based on counts in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_fqa Ch. 03"
"13","scale_x_discrete()",NA,NA,NA,"psyteachr_fqa Ch. 03"
"14","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_fqa Ch. 03"
