"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e: Numbers"
"2","arrange()","change order of rows based on values of columns","dplyr","R4DS2e: Numbers"
"3","c()","create vector of numbers, characters, etc.","base","R4DS2e: Numbers"
"4","ceiling()","round up to nearest integer","base","R4DS2e: Numbers"
"5","consecutive_id()","generate a unique identifier for consecutive combinations","dplyr","R4DS2e: Numbers"
"6","count()","count unique values of variables","dplyr","R4DS2e: Numbers"
"7","cume_dist()","cumulative distribution function giving proportion of all values less than or equal to the current rank","dplyr","R4DS2e: Numbers"
"8","cumsum()","calculate the cumulative sums of a vector","base","R4DS2e: Numbers"
"9","cut()","divide range of vector into intervals","base","R4DS2e: Numbers"
"10","dense_rank()","rank vector elements with no gaps between ranks","dplyr","R4DS2e: Numbers"
"11","desc()","order in descending order","dplyr","R4DS2e: Numbers"
"14","filter()","keep rows based on values of columns","dplyr","R4DS2e: Numbers"
"16","floor()","round down to nearest integer","base","R4DS2e: Numbers"
"17","geom_abline()","add vertical, horizontal, or diagonal reference lines","ggplot2","R4DS2e: Numbers"
"18","geom_freqpoly()","create frequency polygon","ggplot2","R4DS2e: Numbers"
"19","geom_histogram()","create histogram of counts as bars","ggplot2","R4DS2e: Numbers"
"20","geom_line()","add layer of data lines to plot","ggplot2","R4DS2e: Numbers"
"21","geom_point()","add layer of points to plot","ggplot2","R4DS2e: Numbers"
"22","ggplot()","create a plotting area","ggplot2","R4DS2e: Numbers"
"23","group_by()","group data by levels of column","dplyr","R4DS2e: Numbers"
"25","IQR()","computes interquartile range","stats","R4DS2e: Numbers"
"26","is.na()","determine whether elements of vector are missing","base","R4DS2e: Numbers"
"27","lag()","find the previous values in a vector","dplyr","R4DS2e: Numbers"
"29","lead()","find the next values in a vector","dplyr","R4DS2e: Numbers"
"30","library()","load R packages","base","R4DS2e: Numbers"
"31","max()","compute maxima of input values","base","R4DS2e: Numbers"
"32","mean()","calculate mean of elements of vector","base","R4DS2e: Numbers"
"33","median()","compute sample median","stats","R4DS2e: Numbers"
"34","min()","compute minima of input values","base","R4DS2e: Numbers"
"35","min_rank()","rank vector elements with ties set to minimum","dplyr","R4DS2e: Numbers"
"36","mutate()","create or modify data columns","dplyr","R4DS2e: Numbers"
"37","n()","return current group size","dplyr","R4DS2e: Numbers"
"38","n_distinct()","count unique combinations","dplyr","R4DS2e: Numbers"
"40","parse_double()","parse a character vector to doubles","readr","R4DS2e: Numbers"
"41","parse_number()","parse a character vector to numbers","readr","R4DS2e: Numbers"
"42","percent_rank()","rescale rank between 0 and 1","dplyr","R4DS2e: Numbers"
"43","pmax()","compute parallel maxima for one or more vectors","base","R4DS2e: Numbers"
"44","pmin()","compute parallel minima for one or more vectors","base","R4DS2e: Numbers"
"45","quantile()","calculate sample quantiles","stats","R4DS2e: Numbers"
"46","round()","round values to specified number of digits","base","R4DS2e: Numbers"
"47","row_number()","rank vector elements with ties set to first","dplyr","R4DS2e: Numbers"
"48","slice_head()","select the first (specified) number of rows","dplyr","R4DS2e: Numbers"
"50","sum()","sum elements of vector","base","R4DS2e: Numbers"
"51","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e: Numbers"
"52","tibble()","create tibble","tibble","R4DS2e: Numbers"
"54","tribble()","create row-wise tibble","tibble","R4DS2e: Numbers"
