"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS-2e Ch. 5"
"2","c()","create vector of numbers, characters, etc.","base","R4DS-2e Ch. 5"
"4","distinct()","select only unique/distinct rows from data frame","dplyr","R4DS-2e Ch. 5"
"6","filter()","keep rows based on values of columns","dplyr","R4DS-2e Ch. 5"
"7","geom_line()","add layer of data lines to plot","ggplot2","R4DS-2e Ch. 5"
"8","geom_point()","add layer of points to plot","ggplot2","R4DS-2e Ch. 5"
"9","ggplot()","create a plotting area","ggplot2","R4DS-2e Ch. 5"
"10","group_by()","group data by levels of column","dplyr","R4DS-2e Ch. 5"
"12","library()","load R packages","base","R4DS-2e Ch. 5"
"13","mutate()","create or modify data columns","dplyr","R4DS-2e Ch. 5"
"14","n()","return current group size","dplyr","R4DS-2e Ch. 5"
"15","parse_number()","parse a character vector to numbers","readr","R4DS-2e Ch. 5"
"16","pivot_longer()","pivot data frame to be longer","tidyr","R4DS-2e Ch. 5"
"17","pivot_wider()","pivot data frame to be wider","tidyr","R4DS-2e Ch. 5"
"18","pull()","extract a single column","dplyr","R4DS-2e Ch. 5"
"19","rank()","return sample ranks of the values in a vector","base","R4DS-2e Ch. 5"
"20","scale_x_continuous()","scale x axis to be continuous","ggplot2","R4DS-2e Ch. 5"
"22","select()","keep specified columns","dplyr","R4DS-2e Ch. 5"
"24","starts_with()","match column names that begin with string","tidyselect","R4DS-2e Ch. 5"
"25","sum()","sum elements of vector","base","R4DS-2e Ch. 5"
"26","summarize()","summarize data usually by grouping variable","dplyr","R4DS-2e Ch. 5"
"27","tribble()","create row-wise tibble","tibble","R4DS-2e Ch. 5"
