"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 10"
"2","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","R4DS-2e Ch. 10"
"3","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","R4DS-2e Ch. 10"
"4","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","R4DS-2e Ch. 10"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 10"
"6","coord_cartesian()","use Cartesian coordinates","https://ggplot2.tidyverse.org/reference/coord_cartesian.html","ggplot2","R4DS-2e Ch. 10"
"7","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 10"
"8","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","R4DS-2e Ch. 10"
"9","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","R4DS-2e Ch. 10"
"10","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 10"
"11","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","https://dplyr.tidyverse.org/reference/if_else.html","dplyr","R4DS-2e Ch. 10"
"12","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","R4DS-2e Ch. 10"
"13","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","R4DS-2e Ch. 10"
"14","geom_freqpoly()","create frequency polygon","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","R4DS-2e Ch. 10"
"15","after_stat()","evaluate aesthetic mapping after statistical transformation","https://ggplot2.tidyverse.org/reference/aes_eval.html","ggplot2","R4DS-2e Ch. 10"
"16","geom_boxplot()","add layer of boxplots to plot","https://ggplot2.tidyverse.org/reference/geom_boxplot.html","ggplot2","R4DS-2e Ch. 10"
"17","fct_reorder()","reorder factor levels by sorting along another variable","https://forcats.tidyverse.org/reference/fct_reorder.html","forcats","R4DS-2e Ch. 10"
"18","geom_count()","add layer of points sized by count of overlapping points to plot","https://ggplot2.tidyverse.org/reference/geom_count.html","ggplot2","R4DS-2e Ch. 10"
"19","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","R4DS-2e Ch. 10"
"20","geom_tile()","create tile plot using center of rectangle and size","https://ggplot2.tidyverse.org/reference/geom_tile.html","ggplot2","R4DS-2e Ch. 10"
"21","geom_bin2d()",NA,NA,NA,"R4DS-2e Ch. 10"
"22","geom_hex()","create heatmap of bin counts using hexagons","https://ggplot2.tidyverse.org/reference/geom_hex.html","ggplot2","R4DS-2e Ch. 10"
"23","cut_width()","cut data into groups of a particular width","https://ggplot2.tidyverse.org/reference/cut_interval.html","ggplot2","R4DS-2e Ch. 10"
"24","log()","compute natural logarithm","https://rdrr.io/r/base/Log.html","base","R4DS-2e Ch. 10"
"25","linear_reg()",NA,NA,NA,"R4DS-2e Ch. 10"
"26","fit()",NA,NA,NA,"R4DS-2e Ch. 10"
"27","augment()","augment data with information from an object","https://generics.r-lib.org/reference/augment.html","generics","R4DS-2e Ch. 10"
"28","exp()","compute exponential function","https://rdrr.io/r/base/Log.html","base","R4DS-2e Ch. 10"
"29","cut()","divide range of vector into intervals","https://rdrr.io/r/base/cut.html","base","R4DS-2e Ch. 10"
"30","density()",NA,NA,NA,"R4DS-2e Ch. 10"
"31","class()","return object class","https://rdrr.io/r/base/class.html","base","R4DS-2e Ch. 10"
"32","median()","compute sample median","https://rdrr.io/r/stats/median.html","stats","R4DS-2e Ch. 10"
"33","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","R4DS-2e Ch. 10"
