term,description,url,title
assignment operator,"The symbol <-, which functions like = and assigns the value on the right to the object on the left",https://psyteachr.github.io/glossary/a.html#assignment-operator,PsyTeachR FQA Ch. 3
console,The pane in RStudio where you can type in commands and view output messages.,https://psyteachr.github.io/glossary/c.html#console,PsyTeachR FQA Ch. 3
csv,Comma-separated variable: a file type for representing data where each variable is separated from the next by a comma.,https://psyteachr.github.io/glossary/c.html#csv,PsyTeachR FQA Ch. 3
data wrangling,The process of preparing data for visualisation and statistical analysis.,https://psyteachr.github.io/glossary/d.html#data-wrangling,PsyTeachR FQA Ch. 3
descriptive,"Statistics that describe an aspect of data (e.g., mean, median, mode, variance, range)",https://psyteachr.github.io/glossary/d.html#descriptive,PsyTeachR FQA Ch. 3
environment,A data structure that contains R objects such as variables and functions,https://psyteachr.github.io/glossary/e.html#environment,PsyTeachR FQA Ch. 3
inner join,A mutating join that returns all the rows that have a match in the other table.,https://psyteachr.github.io/glossary/i.html#inner-join,PsyTeachR FQA Ch. 3
object,A word that identifies and stores the value of some data for later use.,https://psyteachr.github.io/glossary/o.html#object,PsyTeachR FQA Ch. 3
package,A group of R functions.,https://psyteachr.github.io/glossary/p.html#package,PsyTeachR FQA Ch. 3
replicability,The extent to which the findings of a study can be repeated with new samples from the same population.,https://psyteachr.github.io/glossary/r.html#replicability,PsyTeachR FQA Ch. 3
reproducible research,Research that documents all of the steps between raw data and results in a way that can be verified.,https://psyteachr.github.io/glossary/r.html#reproducible-research,PsyTeachR FQA Ch. 3
tidyverse,A set of R packages that help you create and work with tidy data,https://psyteachr.github.io/glossary/t.html#tidyverse,PsyTeachR FQA Ch. 3
