"","term","description","package","title"
"1","anti_join()","join two data sets dropping all observations in x that have a match in y","dplyr","R4DS2e: Joins"
"2","between()","determine if values in a numeric vector fall in specified range","dplyr","R4DS2e: Joins"
"3","c()","create vector of numbers, characters, etc.","base","R4DS2e: Joins"
"5","count()","count unique values of variables","dplyr","R4DS2e: Joins"
"8","distinct()","select only unique/distinct rows from data frame","dplyr","R4DS2e: Joins"
"10","filter()","keep rows based on values of columns","dplyr","R4DS2e: Joins"
"11","full_join()","join two data sets keeping the observations in both","dplyr","R4DS2e: Joins"
"12","head()","return first rows of matrix, data frame, etc.","utils","R4DS2e: Joins"
"14","inner_join()","join two data sets keeping the observations that they have in common","dplyr","R4DS2e: Joins"
"15","is.na()","determine whether elements of vector are missing","base","R4DS2e: Joins"
"17","left_join()","join two data sets keeping the observations in the left one","dplyr","R4DS2e: Joins"
"18","library()","load R packages","base","R4DS2e: Joins"
"19","mutate()","create or modify data columns","dplyr","R4DS2e: Joins"
"22","row_number()","rank vector elements with ties set to first","dplyr","R4DS2e: Joins"
"23","sample()","randomly sample from vector","base","R4DS2e: Joins"
"24","select()","keep specified columns","dplyr","R4DS2e: Joins"
"25","semi_join()","join two data sets keeping all observations in x that have a match in y","dplyr","R4DS2e: Joins"
"29","tibble()","create tibble","tibble","R4DS2e: Joins"
"30","tribble()","create row-wise tibble","tibble","R4DS2e: Joins"
"31","ymd()","parse dates with year, month, and day components","lubridate","R4DS2e: Joins"
